"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"88","Buzzard (Unidentified)","Buzzard ","Unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Chat (Unidentified)","Chat ","Unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Rufous fronted Prinia (Prinia buchanani)","Rufous fronted Prinia ","Prinia buchanani","Passeriformes","Prinia buchanani",12.01939337,4,"0.82607480300000002","181","0","Not a Migrant","1","resident","weak","invertebrates","3","24.47","25.48029786","30.674319650000001","825.32247600000005","256.3451177",6.7
"91","Purplerumped Sunbird (Leptocoma zeylonica)","Purplerumped Sunbird ","Leptocoma zeylonica","Passeriformes","Leptocoma zeylonica",13.88500334,4,"0.94299959300000002","176","0","Not a Migrant","1","resident","weak","omnivore","1","18.43","25.991122260000001","21.857499130000001","1556.591936","405.50661680000002",NA
"92","Pied Bushchat (Saxicola caprata)","Pied Bushchat ","Saxicola caprata","Passeriformes","Saxicola caprata",11.2556987,4,"1.181843588","1005","0.107462687","Full Migrant","3","directional migratory","weak","invertebrates","2","19.57","21.557889979999999","24.563986570000001","1359.7456769999999","244.69592449999999",15.2
"93","Rufoustailed Lark (Ammomanes phoenicura)","Rufoustailed Lark ","Ammomanes phoenicura","Passeriformes","Ammomanes phoenicura",28.02811137,4,"1.4082399649999999","226","0","Not a Migrant","2","resident","weak","omnivore","3","21.19","25.894749999999998","26.202040060000002","1065.192063","312.72810779999998",25.6
"94","Wheatear (Unidentified)","Wheatear ","Unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Red Collared Dove (Streptopelia tranquebarica)","Red Collared Dove ","Streptopelia tranquebarica","Columbiformes","Streptopelia tranquebarica",39.65461213,8,"2.0128372250000002","874","2.402746E-2","Full Migrant","1","directional migratory","weak","seeds","2","25.22","19.136120649999999","27.045590130000001","1277.1222170000001","273.14007620000001",103
"96","Persian Wheatear / Red tailed Wheatear (Oenanthe chrysopygia)","Persian Wheatear / Red tailed Wheatear ","Oenanthe chrysopygia","Passeriformes","Oenanthe chrysopygia",23.47904074,4,"1.3560258569999999","58","0","Full Migrant","3","directional migratory","weak","invertebrates","3","NA","NA","NA","NA","NA",22.7
"97","Large billed Crow (Corvus macrorhynchos)","Large billed Crow ","Corvus macrorhynchos","Passeriformes","Corvus macrorhynchos",38.03851875,4,"2.71023587","1373","0.14930808400000001","Not a Migrant","1","resident","weak","omnivore","2","26.4","14.962711609999999","28.70049719","1380.165193","229.2841104",513.14
