Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Kutch,Guj,0.56,0.76,1.28,0.029,0.143,0.269,0.289,0.269,0.827,0.666,0.32,0.6,0.56,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.706,0.882,0.647,0.255,0.284,0.363,0.098,0,0.661,0.735,0.506,0.471,0.118,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.438,0.813,1.625,0.188,0.25,0,0.375,0.188,0.695,0.547,0.088,1.375,1.688,1
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.667,0.733,1.667,0.067,0.356,0.089,0.456,0.033,0.749,0.593,1.39,0.667,0.733,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.647,0.941,1.412,0.304,0.118,0.363,0.216,0,0.342,0.715,0,0.588,0.824,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.643,0.929,1.571,0.06,0.345,0.488,0.107,0,0.437,0.471,0.396,0.929,0.429,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,1,0.4,0.533,0.067,0.167,0.067,0.533,0.167,0.615,0.717,0.467,1,0.933,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.588,0.529,0.882,0.059,0.02,0.304,0.48,0.137,0.575,0.718,0.606,1.235,0.882,1
741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,Kutch,Guj,0.591,0.909,1.455,0.015,0.485,0,0.295,0.205,0.71,0.4,0.145,0.864,1.227,1
966,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.818,1,0.909,0.091,0,0.455,0.455,0,0.845,0.832,0.444,0.818,0,1
